iter	Passed	Remaining
405	7414	10847
406	7437	10835
407	7468	10836
408	7492	10827
409	7518	10818
410	7552	10823
411	7586	10826
412	7618	10827
413	7644	10820
414	7669	10811
415	7688	10793
416	7710	10780
417	7734	10768
418	7755	10753
419	7777	10740
420	7808	10738
421	7831	10726
422	7852	10711
423	7872	10694
424	7892	10677
425	7910	10658
426	7928	10639
427	7947	10621
428	8017	10670
429	8080	10710
430	8114	10712
431	8138	10700
432	8167	10694
433	8221	10721
434	8264	10734
435	8295	10730
436	8331	10734
437	8356	10721
438	8390	10722
439	8410	10704
440	8430	10686
441	8450	10667
442	8469	10649
443	8488	10629
444	8508	10611
445	8530	10596
446	8550	10577
447	8571	10560
448	8592	10544
449	8612	10525
450	8632	10507
451	8651	10488
452	8673	10472
453	8695	10457
454	8716	10440
455	8736	10422
456	8757	10405
457	8777	10387
458	8796	10368
459	8817	10351
460	8835	10331
461	8854	10310
462	8873	10291
463	8892	10272
464	8910	10251
465	8929	10232
466	8947	10212
467	8966	10192
468	8987	10175
469	9006	10156
470	9028	10140
471	9058	10133
472	9102	10141
473	9139	10141
474	9159	10123
475	9186	10112
476	9220	10109
477	9252	10104
478	9283	10097
479	9305	10080
480	9327	10063
481	9348	10046
482	9371	10030
483	9392	10013
484	9414	9996
485	9436	9980
486	9456	9961
487	9476	9942
488	9495	9922
489	9517	9905
490	9539	9889
491	9558	9869
492	9578	9850
493	9597	9831
494	9617	9812
495	9637	9793
496	9657	9774
497	9677	9755
498	9697	9736
499	9717	9717
500	9737	9698
501	9756	9678
502	9778	9661
503	9797	9641
504	9817	9622
505	9837	9603
506	9855	9583
507	9874	9563
508	9892	9543
509	9912	9524
510	9932	9505
511	9953	9486
512	9972	9466
513	9994	9450
514	10014	9431
515	10035	9413
516	10055	9394
517	10074	9374
518	10094	9355
519	10115	9337
520	10135	9318
521	10157	9301
522	10177	9282
523	10199	9264
524	10221	9248
525	10242	9230
526	10262	9211
527	10283	9192
528	10304	9174
529	10323	9154
530	10342	9134
531	10366	9119
532	10385	9099
533	10405	9080
534	10422	9058
535	10441	9038
536	10462	9020
537	10484	9003
538	10503	8983
539	10523	8964
540	10545	8946
541	10564	8927
542	10583	8907
543	10604	8889
544	10624	8869
545	10655	8860
546	10680	8845
547	10703	8828
548	10727	8812
549	10750	8796
550	10773	8778
551	10814	8777
552	10851	8771
553	10874	8754
554	10896	8736
555	10916	8717
556	10937	8698
557	10962	8683
558	10982	8664
559	11003	8645
560	11027	8629
561	11048	8610
562	11069	8592
563	11101	8582
564	11146	8581
565	11171	8566
566	11195	8549
567	11215	8530
568	11236	8510
569	11255	8490
570	11276	8472
571	11296	8452
572	11316	8433
573	11336	8413
574	11358	8395
575	11379	8376
576	11400	8357
577	11421	8338
578	11441	8319
579	11460	8299
580	11479	8278
581	11497	8257
582	11514	8236
583	11532	8214
584	11549	8193
585	11567	8172
586	11585	8151
587	11606	8132
588	11627	8113
589	11654	8098
590	11685	8087
591	11714	8073
592	11741	8058
593	11786	8056
594	11827	8050
595	11848	8031
596	11882	8020
597	11908	8005
598	11930	7987
599	11953	7969
600	12036	7990
601	12098	7998
602	12132	7987
603	12170	7979
604	12197	7963
605	12221	7946
606	12242	7926
607	12262	7905
608	12281	7884
609	12301	7864
610	12321	7844
611	12341	7824
612	12362	7804
613	12382	7784
614	12403	7764
615	12424	7745
616	12444	7725
617	12463	7703
618	12482	7682
619	12502	7662
620	12522	7642
621	12543	7622
622	12563	7602
623	12583	7582
624	12602	7561
625	12623	7541
626	12644	7522
627	12664	7502
628	12683	7481
629	12702	7460
630	12723	7440
631	12743	7419
632	12763	7400
633	12787	7382
634	12808	7362
635	12827	7341
636	12847	7321
637	12865	7299
638	12886	7280
639	12905	7259
640	12925	7238
641	12944	7218
642	12966	7199
643	12989	7180
644	13016	7164
645	13039	7145
646	13061	7126
647	13089	7110
648	13113	7092
649	13137	7074
650	13161	7055
651	13180	7035
652	13203	7016
653	13223	6995
654	13243	6975
655	13263	6955
656	13289	6937
657	13311	6918
658	13331	6898
659	13359	6882
660	13383	6863
661	13405	6844
662	13426	6824
663	13453	6807
664	13478	6789
665	13505	6772
666	13527	6753
667	13552	6735
668	13576	6717
669	13602	6699
670	13632	6684
671	13656	6665
672	13688	6650
673	13716	6634
674	13737	6614
675	13757	6593
676	13782	6575
677	13805	6556
678	13829	6537
679	13850	6518
680	13872	6498
681	13902	6482
682	13936	6468
683	13961	6450
684	13987	6432
685	14010	6413
686	14040	6396
687	14063	6377
688	14084	6357
689	14106	6337
690	14127	6317
691	14148	6297
692	14167	6276
693	14201	6261
694	14241	6249
695	14267	6231
696	14292	6213
697	14325	6198
698	14359	6183
699	14392	6168
700	14415	6148
701	14436	6128
702	14456	6107
703	14475	6086
704	14493	6064
705	14511	6042
706	14529	6021
707	14549	6000
708	14567	5979
709	14585	5957
710	14604	5936
711	14624	5915
712	14643	5894
713	14663	5873
714	14682	5852
715	14703	5831
716	14721	5810
717	14741	5789
718	14760	5768
719	14783	5749
720	14804	5728
721	14824	5708
722	14843	5686
723	14861	5665
724	14880	5644
725	14898	5622
726	14917	5601
727	14936	5580
728	14954	5559
729	14973	5538
730	14991	5516
731	15015	5497
732	15041	5478
733	15061	5458
734	15079	5436
735	15097	5415
736	15114	5393
737	15132	5372
738	15149	5350
739	15167	5329
740	15186	5307
741	15203	5286
742	15221	5265
743	15238	5243
744	15259	5223
745	15283	5203
746	15301	5182
747	15319	5161
748	15338	5140
749	15357	5119
750	15374	5097
751	15392	5076
752	15411	5055
753	15429	5034
754	15447	5012
755	15464	4991
756	15483	4970
757	15501	4949
758	15519	4927
759	15537	4906
760	15555	4885
761	15572	4863
762	15591	4843
763	15609	4821
764	15627	4800
765	15644	4779
766	15662	4757
767	15680	4736
768	15698	4715
769	15718	4695
770	15740	4675
771	15760	4654
772	15778	4633
773	15799	4613
774	15820	4592
775	15839	4572
776	15859	4551
777	15879	4531
778	15898	4510
779	15917	4489
780	15935	4468
781	15953	4447
782	15991	4431
783	16025	4415
784	16053	4396
785	16083	4379
786	16113	4361
787	16146	4343
788	16194	4330
789	16232	4314
790	16261	4296
791	16288	4277
792	16308	4257
793	16327	4236
794	16345	4214
795	16360	4192
796	16378	4171
797	16395	4150
798	16413	4129
799	16432	4108
800	16450	4087
801	16486	4070
802	16508	4050
803	16531	4029
804	16569	4013
805	16602	3996
806	16622	3975
807	16640	3954
808	16659	3933
809	16677	3912
810	16699	3891
811	16721	3871
812	16745	3851
813	16770	3832
814	16796	3812
815	16831	3795
816	16863	3777
817	16885	3756
818	16912	3737
819	16941	3718
820	16968	3699
821	16996	3680
822	17029	3662
823	17061	3644
824	17091	3625
825	17123	3607
826	17149	3587
827	17180	3568
828	17210	3550
829	17238	3530
830	17262	3510
831	17285	3490
832	17303	3469
833	17321	3447
834	17340	3426
835	17360	3405
836	17377	3384
837	17395	3362
838	17413	3341
839	17430	3320
840	17448	3298
841	17465	3277
842	17498	3258
843	17516	3237
844	17534	3216
845	17552	3195
846	17569	3173
847	17587	3152
848	17607	3131
849	17625	3110
850	17644	3089
851	17662	3068
852	17680	3046
853	17697	3025
854	17715	3004
855	17733	2983
856	17750	2961
857	17769	2940
858	17787	2919
859	17805	2898
860	17822	2877
861	17840	2856
862	17858	2834
863	17877	2814
864	17894	2792
865	17916	2772
866	17934	2751
867	17952	2730
868	17971	2709
869	17990	2688
870	18008	2667
871	18026	2646
872	18043	2624
873	18061	2603
874	18078	2582
875	18096	2561
876	18113	2540
877	18132	2519
878	18150	2498
879	18168	2477
880	18186	2456
881	18204	2435
882	18222	2414
883	18240	2393
884	18258	2372
885	18276	2351
886	18296	2330
887	18314	2309
888	18332	2289
889	18351	2268
890	18369	2247
891	18390	2226
892	18408	2205
893	18425	2184
894	18443	2163
895	18460	2142
896	18478	2121
897	18496	2100
898	18513	2079
899	18530	2058
900	18549	2038
901	18566	2017
902	18584	1996
903	18603	1975
904	18622	1954
905	18640	1933
906	18658	1913
907	18677	1892
908	18694	1871
909	18711	1850
910	18730	1829
911	18753	1809
912	18778	1789
913	18802	1769
914	18826	1748
915	18848	1728
916	18871	1708
917	18894	1687
918	18913	1667
919	18932	1646
920	18949	1625
921	18967	1604
922	18985	1583
923	19003	1563
924	19020	1542
925	19037	1521
926	19055	1500
927	19073	1479
928	19090	1459
929	19107	1438
930	19125	1417
931	19143	1396
932	19161	1375
933	19179	1355
934	19197	1334
935	19216	1313
936	19233	1293
937	19252	1272
938	19270	1251
939	19289	1231
940	19306	1210
941	19323	1189
942	19342	1169
943	19360	1148
944	19378	1127
945	19395	1107
946	19413	1086
947	19431	1065
948	19449	1045
949	19466	1024
950	19485	1003
951	19504	983
952	19523	962
953	19540	942
954	19557	921
955	19575	900
956	19592	880
957	19610	859
958	19627	839
959	19646	818
960	19664	798
961	19682	777
962	19701	756
963	19720	736
964	19739	715
965	19758	695
966	19776	674
967	19794	654
968	19812	633
969	19831	613
970	19848	592
971	19870	572
972	19889	551
973	19908	531
974	19926	510
975	19944	490
976	19962	469
977	19979	449
978	19997	428
979	20014	408
980	20033	388
981	20051	367
982	20069	347
983	20087	326
984	20104	306
985	20122	285
986	20142	265
987	20165	244
988	20185	224
989	20204	204
990	20226	183
991	20248	163
992	20275	142
993	20293	122
994	20311	102
995	20329	81
996	20347	61
997	20365	40
998	20380	20
999	20398	0
