iter	RMSE
0	268.5989445
1	267.573601
2	267.4328689
3	266.839962
4	266.6964818
5	266.0206028
6	265.2253416
7	264.3474288
8	263.7326509
9	263.0591337
10	262.4600931
11	261.7886707
12	261.0002029
13	260.190458
14	259.3658389
15	258.9608784
16	258.7617593
17	258.3680104
18	257.0468692
19	256.2836832
20	255.5722175
21	254.6474117
22	253.7896127
23	252.9602269
24	252.5103686
25	251.6966528
26	250.8048353
27	250.1593936
28	249.2806343
29	248.780833
30	248.2186623
31	247.605266
32	247.4138724
33	246.7998958
34	246.4161469
35	245.6775627
36	245.1105941
37	244.585343
38	244.0681413
39	243.3588935
40	242.8448465
41	242.6479511
42	242.5756842
43	242.0310136
44	241.4126375
45	241.0295333
46	240.839815
47	240.4871633
48	240.2548416
49	239.7385539
50	239.3564588
51	239.1079046
52	238.893118
53	238.7901454
54	238.6459592
55	238.0821585
56	237.4746212
57	237.0937666
58	236.723829
59	236.3966552
60	236.3480586
61	236.0627181
62	235.5761953
63	235.5244036
64	234.7696904
65	234.5420353
66	234.3895414
67	234.0048324
68	233.7756321
69	233.7587302
70	233.1065399
71	232.541228
72	232.3376742
73	231.7235894
74	231.6953325
75	231.2972478
76	230.8317376
77	230.7610961
78	230.4843156
79	229.8558634
80	229.5863307
81	229.3470444
82	229.1546349
83	228.8628799
84	228.5934772
85	228.5931712
86	228.2673463
87	228.2335814
88	228.1171549
89	227.8001717
90	227.784897
91	227.37158
92	227.0493444
93	226.6663002
94	226.2488042
95	226.0952113
96	226.0948776
97	225.7276152
98	225.4390125
99	225.2895318
100	224.5648103
101	224.4278791
102	224.2978766
103	224.1782312
104	223.7595566
105	223.3693505
106	223.055183
107	222.7915793
108	222.4995832
109	222.2086354
110	222.0008126
111	221.7033115
112	221.1482284
113	220.65443
114	220.3445087
115	220.0109213
116	219.8695253
117	219.2237006
118	219.2230521
119	218.6919744
120	218.4069913
121	218.0406478
122	217.937516
123	217.4531896
124	217.2587138
125	217.2584957
126	217.0624352
127	216.8789394
128	216.5879082
129	216.0807206
